"Qual é a definição de uma operação de investimento, segundo Benjamin Graham?","É aquela que, após análise aprofundada, promete a segurança do principal e um retorno adequado."
"No Brasil, o que alterou significativamente a forma como a população lida com seus recursos financeiros a partir de 1994?",A estabilização da economia e a queda da inflação com o Plano Real.
"Qual a principal lição do caso de Isaac Newton, que perdeu uma fortuna na bolha da South Sea Company?",Que mesmo a pessoa mais inteligente pode falhar no investimento se não tiver disciplina emocional.
"De acordo com a filosofia de valor, o que um investidor deve fazer quando o mercado entra em pânico e os preços caem?",Ver isso como uma oportunidade de comprar bons negócios a preços de pechincha.
Warren Buffett aconselha a investir apenas em negócios que você _____.,compreende
Qual é o problema de confiar cegamente em previsões de mercado?,Elas dão uma ilusão de estabilidade em um mundo onde os imprevistos controlam a maioria dos resultados.
"O que são ""cigar-butt stocks"" (ações ""bituca de cigarro""), um dos focos iniciais de Buffett, seguindo Graham?","Ações de empresas medíocres que estão tão baratas que ainda têm um último ""trago"" de valor gratuito."
Qual foi a principal influência de Charlie Munger na filosofia de investimento de Warren Buffett?,Ele o convenceu de que é melhor comprar uma empresa maravilhosa por um preço justo do que uma empresa justa por um preço maravilhoso.
"Para o investidor defensivo, um dos critérios de seleção de ações é um histórico de pagamento contínuo de _____ por muitos anos.",dividendos
Qual é a principal vantagem de um fundo de índice para um investidor defensivo?,"Oferece diversificação ampla com custos operacionais muito baixos, superando a maioria dos fundos ativos a longo prazo."
"O que Buffett quer dizer com ""Nunca pergunte a um barbeiro se você precisa de um corte de cabelo""?","Tenha cuidado com conselhos de pessoas que lucram com a sua decisão, como corretores que ganham comissões por transações."
"Por que a história financeira é um guia imperfeito para o futuro, segundo Morgan Housel?",Porque a história é principalmente o estudo de eventos surpreendentes e coisas que nunca aconteceram antes acontecem o tempo todo.
"Qual é o principal objetivo financeiro da família de Morgan Housel, conforme descrito no audiolivro?",Independência financeira.
"O que é mais poderoso do que o esforço individual para guiar os resultados na vida, segundo ""A Psicologia Financeira""?",Sorte e risco.
"Qual é o problema de usar ""lucros pro forma"" ou ajustados, uma prática criticada por Graham?",Eles são frequentemente usados para mascarar perdas reais e fazer os resultados parecerem melhores do que realmente são.
A recomendação de Graham de limitar a compra de ações a um múltiplo de preço/lucro (P/L) moderado serve para evitar o erro de _____.,pagar demais pelo crescimento futuro
"Segundo Warren Buffett, ""o tempo é amigo da empresa maravilhosa e inimigo da _____.""",mediocre
